,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
Learning Strategies,0.879464635112124,0.7455503843307284,0.809657333027476,0.6634226936483978,0.8255891447080258,-0.263141321060762,-0.25818512222413703,-0.050343715906018945,0.837113725206692,0.8182229005269168,1.0,0.7990834708886091,0.8165919394231235,0.8724074400740905,0.7563528932806166,0.7977591985746295,0.7849626077419304,-0.5167857828543382,0.7844448716477307,-0.06142359963791282,0.8336470321871521,0.6485459900452981,0.3775834796162127,0.8076371674537538,-0.15496577817827975,0.6802318856281259,0.8600683680843132,0.8305914537328885,0.771598093904004,0.8416397783621178,0.861379096832632,0.6503497729439307,0.7891352439806189,-0.15171116468488235,0.8343605616194714
Management of Financial Resources,0.8498830432023162,0.7717032956589677,0.8758317161118758,0.8158188668099481,0.8552195691452494,-0.311478060966583,-0.3675182271678521,-0.17333805528585633,0.7583541207448095,0.8776666615831644,0.7990834708886091,1.0,0.9511400893882942,0.9074061475977026,0.8220437705068742,0.9232552867280174,0.8595456438213466,-0.6142879095983331,0.7820962105387712,-0.26944516124564083,0.8923338567411929,0.7759734939828734,0.23072719907824452,0.8153750882373992,-0.23064543637362414,0.7016700215607805,0.8078401208996263,0.8526909497410591,0.7962228045510321,0.8460307059919434,0.8573674882820533,0.6822217198635849,0.896721828210137,-0.17415518556053988,0.8951081751681597
Management of Material Resources,0.8463680722762698,0.7251941221578256,0.8375839261856411,0.7894227260128901,0.8297133959072142,-0.3018559192971518,-0.28526493128487646,-0.14095596498543414,0.7920774987847607,0.8159927794518825,0.8165919394231235,0.9511400893882942,1.0,0.8818007157484418,0.824624642570207,0.8988206745793711,0.8456147047030479,-0.6059560663206797,0.7928784420174565,-0.25335674075157866,0.8569093344883825,0.7090736508150792,0.23401860587458112,0.775490559586497,-0.2278142916624623,0.6801179954594988,0.8143511541791852,0.8428065244170042,0.7459280166604771,0.8165272497820812,0.8451389574201391,0.6232128774963038,0.8385188680119046,-0.20371623759468213,0.8737153478584238
Management of Personnel Resources,0.8447458455762517,0.8037575564971898,0.8354688038163486,0.7855592374701736,0.8417222234104268,-0.3674724704593682,-0.34530218188393624,-0.16371047650423426,0.8092155241500093,0.8631846920480217,0.8724074400740905,0.9074061475977026,0.8818007157484418,1.0,0.8051227236088943,0.8571484777173097,0.9015479156502905,-0.5828914255551209,0.7594320382525497,-0.20601972594737125,0.9435363338405677,0.679210953581565,0.3261038030338191,0.8372494155459116,-0.28374349003513266,0.6517070792413151,0.893909288947299,0.9199441486759071,0.8460723984990839,0.8568715822629029,0.8714403712636772,0.5930950022720363,0.9109354915186113,-0.17347071560251076,0.886767783245714
Mathematics,0.8313006629756134,0.7565581282847257,0.8053765258561044,0.6433199919017408,0.8691255551291076,-0.5159585772370742,-0.5127801819046042,-0.19406044062236583,0.7033389746692524,0.8105260760174986,0.7563528932806166,0.8220437705068742,0.824624642570207,0.8051227236088943,1.0,0.7784826649005745,0.7811011048325529,-0.7914087004819715,0.8610406176805835,-0.43039891959320203,0.8075017544725296,0.7934474344019964,0.19224698305048196,0.8393013116947435,-0.4130181691413115,0.8552316903356878,0.780776570714304,0.7312590244254932,0.7807521293096722,0.8561083908652678,0.85505107540046,0.7097914110344343,0.7772125254806299,-0.3662923027050914,0.8541341815777052
Monitoring,0.8669568222355422,0.8405795064662218,0.8409935167806194,0.8124990611034593,0.8703398104994845,-0.25057967746868753,-0.3471443298191834,-0.16816803653641954,0.7882163262069876,0.8481656611243737,0.7977591985746295,0.9232552867280174,0.8988206745793711,0.8571484777173097,0.7784826649005745,1.0,0.8918715193597304,-0.5415796871882732,0.7321698016851851,-0.10581234105972319,0.8919919154353831,0.6849444481792034,0.3551822066964811,0.8295868344621081,-0.16931260345878765,0.6745077273460229,0.8318042393552343,0.8606326846877155,0.843020537738494,0.8167149516382601,0.8283191851869911,0.5569123984500934,0.8912746855723489,-0.1106908416531948,0.8924323255358872
Negotiation,0.8047391889482257,0.9163287833141076,0.8292789084075451,0.7709899671978443,0.8406785568335426,-0.4489113397188006,-0.4973380208998645,-0.31907632900242866,0.7893552769049499,0.8294359190216771,0.7849626077419304,0.8595456438213466,0.8456147047030479,0.9015479156502905,0.7811011048325529,0.8918715193597304,1.0,-0.6080109677727937,0.6713644151933107,-0.2100014854305351,0.9468197378894251,0.6907464116935891,0.2337440379725229,0.8726636827759519,-0.40424675131217686,0.6624993251307203,0.868710260172966,0.9142703302319497,0.9150176400749469,0.7768472784033944,0.794889468625272,0.44393169144710426,0.8798549685097058,-0.284250713627647,0.9002452127154544
Operation and Control,-0.6109662099295251,-0.6330918818738308,-0.5788431701572276,-0.449876062744839,-0.6272841768483763,0.7932829181096853,0.7824069457788326,0.42634092179037036,-0.38047935735874167,-0.5816842119098059,-0.5167857828543382,-0.6142879095983331,-0.6059560663206797,-0.5828914255551209,-0.7914087004819715,-0.5415796871882732,-0.6080109677727937,1.0,-0.6802433214307652,0.7404347892721567,-0.5736896065366228,-0.6619272081226135,0.27362414176627087,-0.7412619105396454,0.7156101773297417,-0.6920975893640765,-0.47111334295798707,-0.5989752519961835,-0.599266532176002,-0.5838924960811459,-0.5465437802907883,-0.46911795702546005,-0.6386701274904504,0.6787649737474946,-0.6619535253434276
Operations Analysis,0.8729954124745675,0.7333698868276559,0.8071744344593672,0.5785206512531624,0.7923482999777246,-0.4671105100561216,-0.4433854016581456,-0.19388062753772797,0.6287880511945122,0.7582169087119407,0.7844448716477307,0.7820962105387712,0.7928784420174565,0.7594320382525497,0.8610406176805835,0.7321698016851851,0.6713644151933107,-0.6802433214307652,1.0,-0.4034595770028697,0.7221561955215304,0.7262049010690416,0.07021320536064166,0.8309494671059992,-0.38308862214584927,0.8406872326159891,0.7186190514877555,0.692943806372857,0.7294694081281778,0.8104302527531574,0.8025912803427769,0.7402742825112186,0.7534296302809181,-0.4002788735990584,0.8155203441975563
Operations Monitoring,-0.1182718107728142,-0.23433955309630633,-0.12956166616242243,-0.14525140009442614,-0.12014036651338197,0.756307679826884,0.6267197935983404,0.5345733677877085,0.05134128785862123,-0.0801388825981337,-0.06142359963791282,-0.26944516124564083,-0.25335674075157866,-0.20601972594737125,-0.43039891959320203,-0.10581234105972319,-0.2100014854305351,0.7404347892721567,-0.4034595770028697,1.0,-0.14318752698527717,-0.34609140573889874,0.6385458421119491,-0.32381038341378987,0.7598536209812339,-0.26442495835916163,-0.013585983424072077,-0.22571617246406261,-0.177887211751712,-0.12547813572451494,-0.08180565561258114,-0.17820519189144565,-0.2370917622480348,0.8027733521378523,-0.2292452653114197
Persuasion,0.8532073440581434,0.8694799713154152,0.8596418863423169,0.7913826923208961,0.8578353398963379,-0.3334999151564386,-0.3916818849719857,-0.16283980937350087,0.788488754023598,0.8563871400544085,0.8336470321871521,0.8923338567411929,0.8569093344883825,0.9435363338405677,0.8075017544725296,0.8919919154353831,0.9468197378894251,-0.5736896065366228,0.7221561955215304,-0.14318752698527717,1.0,0.6934053130221687,0.3954636054640131,0.8665453308660388,-0.25799373043908924,0.721157341360427,0.9274875165708423,0.9099154574953155,0.9058947134933457,0.8436699816755121,0.8616908260517868,0.6161701183330504,0.894519849457848,-0.11296868330365148,0.9135553718076184
Programming,0.8047993361839787,0.7513525464935306,0.8458136968402586,0.42415399687594557,0.7969198907903844,-0.390598065340199,-0.5183928413433054,-0.16733899208202868,0.5937055966224817,0.8126785693749989,0.6485459900452981,0.7759734939828734,0.7090736508150792,0.679210953581565,0.7934474344019964,0.6849444481792034,0.6907464116935891,-0.6619272081226135,0.7262049010690416,-0.34609140573889874,0.6934053130221687,1.0,0.014677686984811063,0.8350091686661921,-0.34211464174905704,0.83123555977002,0.7091861070368021,0.614937218053694,0.753074546164243,0.8004486559537395,0.8086561796626051,0.7390307233366259,0.7510670300980256,-0.31409330751671916,0.836144199307924
Quality Control Analysis,0.3202900202238071,0.12202785904722097,0.2706646736567408,0.31136323878357625,0.34493913081671035,0.5377126557177575,0.4776982083609609,0.5060228381718977,0.5119196348038613,0.3266242438360079,0.3775834796162127,0.23072719907824452,0.23401860587458112,0.3261038030338191,0.19224698305048196,0.3551822066964811,0.2337440379725229,0.27362414176627087,0.07021320536064166,0.6385458421119491,0.3954636054640131,0.014677686984811063,1.0,0.11580817691634201,0.5927351112697654,0.168186733310762,0.4449898323852886,0.24147286690476658,0.25615925068743933,0.40972568454461783,0.44036970415461374,0.29972944222917247,0.26430142889131236,0.7171951683204152,0.2739522915659131
Reading Comprehension,0.9023804117269904,0.9366844935984968,0.8697417800501692,0.6169078463455061,0.890535075595397,-0.5409406056751239,-0.5851003125355135,-0.2128184431387717,0.6861995030486356,0.8482145779252156,0.8076371674537538,0.8153750882373992,0.775490559586497,0.8372494155459116,0.8393013116947435,0.8295868344621081,0.8726636827759519,-0.7412619105396454,0.8309494671059992,-0.32381038341378987,0.8665453308660388,0.8350091686661921,0.11580817691634201,1.0,-0.45198803162413964,0.8472332021310492,0.8553766460727328,0.8750422835692607,0.9226702593755829,0.8556510447348176,0.8404520927695992,0.6174462768745745,0.8870430915893273,-0.40125921368372336,0.9448853691954633
Repairing,-0.21106931883664212,-0.4548843099093894,-0.25930953568837495,-0.18450030027775963,-0.2311912945711909,0.9624245846217447,0.860571656767385,0.6698248754458763,-0.11967155915518105,-0.26383887548182955,-0.15496577817827975,-0.23064543637362414,-0.2278142916624623,-0.28374349003513266,-0.4130181691413115,-0.16931260345878765,-0.40424675131217686,0.7156101773297417,-0.38308862214584927,0.7598536209812339,-0.25799373043908924,-0.34211464174905704,0.5927351112697654,-0.45198803162413964,1.0,-0.30989030945548723,-0.14414363269490574,-0.32993328706797603,-0.3568670754168162,-0.15061165027793363,-0.10785573224770664,-0.06113077345243817,-0.32243766426053205,0.8246028277531098,-0.3349555359423057
Science,0.8528746365809011,0.7658714630653872,0.8046163447157756,0.39216572649669507,0.8532575460231864,-0.3933949350326523,-0.5147557124937027,-0.0745391090919855,0.5617193557256485,0.7784778738938398,0.6802318856281259,0.7016700215607805,0.6801179954594988,0.6517070792413151,0.8552316903356878,0.6745077273460229,0.6624993251307203,-0.6920975893640765,0.8406872326159891,-0.26442495835916163,0.721157341360427,0.83123555977002,0.168186733310762,0.8472332021310492,-0.30989030945548723,1.0,0.7529103966543934,0.6085745030729833,0.7574700698080253,0.8407037524911244,0.8152968547625276,0.7698605493770828,0.7279649862566101,-0.25103487155401094,0.8470814221681637
Service Orientation,0.8723686322048498,0.8325502746518388,0.8446709574666285,0.6584944290424074,0.8659758710207779,-0.2345105854742087,-0.2699663906697624,-0.00797018975899935,0.7756952586751645,0.8249174873708264,0.8600683680843132,0.8078401208996263,0.8143511541791852,0.893909288947299,0.780776570714304,0.8318042393552343,0.868710260172966,-0.47111334295798707,0.7186190514877555,-0.013585983424072077,0.9274875165708423,0.7091861070368021,0.4449898323852886,0.8553766460727328,-0.14414363269490574,0.7529103966543934,1.0,0.8734809494376403,0.8507410620874307,0.8662944553596124,0.881372190728883,0.6215521794962268,0.811931232710754,-0.05390620249156932,0.8954985862528245
Social Perceptiveness,0.8071859248253979,0.8352605175918971,0.7678889671108929,0.7736470755984328,0.8163015209056838,-0.42999294424163204,-0.4091794217682679,-0.20228101270870025,0.7345556191978719,0.7874695148648616,0.8305914537328885,0.8526909497410591,0.8428065244170042,0.9199441486759071,0.7312590244254932,0.8606326846877155,0.9142703302319497,-0.5989752519961835,0.692943806372857,-0.22571617246406261,0.9099154574953155,0.614937218053694,0.24147286690476658,0.8750422835692607,-0.32993328706797603,0.6085745030729833,0.8734809494376403,1.0,0.8357047359881404,0.7897603693992863,0.7803713033680169,0.4520442605673328,0.8906434786614907,-0.27625761661533016,0.8628364664243439
Speaking,0.8390754319657621,0.9405704828916241,0.8524602218258565,0.6738111499711252,0.837142534668615,-0.41667386616176016,-0.48984422315778536,-0.18775210260601086,0.7389790381722292,0.8277511759596334,0.771598093904004,0.7962228045510321,0.7459280166604771,0.8460723984990839,0.7807521293096722,0.843020537738494,0.9150176400749469,-0.599266532176002,0.7294694081281778,-0.177887211751712,0.9058947134933457,0.753074546164243,0.25615925068743933,0.9226702593755829,-0.3568670754168162,0.7574700698080253,0.8507410620874307,0.8357047359881404,1.0,0.8026102082797824,0.8281796162625917,0.5225901335600257,0.8708825324257196,-0.22609206399205764,0.9223811035128086
Systems Analysis,0.9095994506077204,0.7623335888289232,0.8829135732095383,0.5807316891945957,0.9131417582989738,-0.2468008654070932,-0.30501122135214453,0.04027073908553955,0.7602079831944557,0.9179734927400943,0.8416397783621178,0.8460307059919434,0.8165272497820812,0.8568715822629029,0.8561083908652678,0.8167149516382601,0.7768472784033944,-0.5838924960811459,0.8104302527531574,-0.12547813572451494,0.8436699816755121,0.8004486559537395,0.40972568454461783,0.8556510447348176,-0.15061165027793363,0.8407037524911244,0.8662944553596124,0.7897603693992863,0.8026102082797824,1.0,0.9821219020416216,0.7194149887165321,0.8485828280524103,-0.06172163649705037,0.9073780175248007
Systems Evaluation,0.9104139373562329,0.7681581730066658,0.8925766598743705,0.6128237611981082,0.9127814177530044,-0.1978961617116567,-0.24974241283816268,0.04458323722812627,0.7918940653533829,0.9121238373996138,0.861379096832632,0.8573674882820533,0.8451389574201391,0.8714403712636772,0.85505107540046,0.8283191851869911,0.794889468625272,-0.5465437802907883,0.8025912803427769,-0.08180565561258114,0.8616908260517868,0.8086561796626051,0.44036970415461374,0.8404520927695992,-0.10785573224770664,0.8152968547625276,0.881372190728883,0.7803713033680169,0.8281796162625917,0.9821219020416216,1.0,0.7072912354305402,0.8361474116088724,-0.03665351599859596,0.9088370831287592
Technology Design,0.7690720778002962,0.4659669511645909,0.7499662585301399,0.44948103152776053,0.6566901839455439,-0.14624440451753384,-0.2270610414651053,0.1080212414336832,0.5835525623757807,0.6994200418123898,0.6503497729439307,0.6822217198635849,0.6232128774963038,0.5930950022720363,0.7097914110344343,0.5569123984500934,0.44393169144710426,-0.46911795702546005,0.7402742825112186,-0.17820519189144565,0.6161701183330504,0.7390307233366259,0.29972944222917247,0.6174462768745745,-0.06113077345243817,0.7698605493770828,0.6215521794962268,0.4520442605673328,0.5225901335600257,0.7194149887165321,0.7072912354305402,1.0,0.6168060685989185,-0.006932235093241845,0.6637017962849883
Time Management,0.8841888843753417,0.849336627798838,0.8411494236817776,0.723502907566992,0.8727662433718835,-0.3897899459738806,-0.46396028888459145,-0.22954218655965916,0.7657342298346287,0.8777044397277194,0.7891352439806189,0.896721828210137,0.8385188680119046,0.9109354915186113,0.7772125254806299,0.8912746855723489,0.8798549685097058,-0.6386701274904504,0.7534296302809181,-0.2370917622480348,0.894519849457848,0.7510670300980256,0.26430142889131236,0.8870430915893273,-0.32243766426053205,0.7279649862566101,0.811931232710754,0.8906434786614907,0.8708825324257196,0.8485828280524103,0.8361474116088724,0.6168060685989185,1.0,-0.21625545642025593,0.9155989383062872
Troubleshooting,-0.17236834863969283,-0.3700263157425925,-0.14768352155864556,-0.14008099439762936,-0.1752890229565221,0.8247113089595124,0.7141246296961054,0.7117514299283944,-0.0010495868911428207,-0.09712640960567631,-0.15171116468488235,-0.17415518556053988,-0.20371623759468213,-0.17347071560251076,-0.3662923027050914,-0.1106908416531948,-0.284250713627647,0.6787649737474946,-0.4002788735990584,0.8027733521378523,-0.11296868330365148,-0.31409330751671916,0.7171951683204152,-0.40125921368372336,0.8246028277531098,-0.25103487155401094,-0.05390620249156932,-0.27625761661533016,-0.22609206399205764,-0.06172163649705037,-0.03665351599859596,-0.006932235093241845,-0.21625545642025593,1.0,-0.2173775902628114
Writing,0.9136894907601307,0.907688835362523,0.908405487070533,0.6683980787902851,0.915857093597915,-0.39980680214670283,-0.44947922175647936,-0.12698946644583964,0.7932183267586612,0.8945541175627177,0.8343605616194714,0.8951081751681597,0.8737153478584238,0.886767783245714,0.8541341815777052,0.8924323255358872,0.9002452127154544,-0.6619535253434276,0.8155203441975563,-0.2292452653114197,0.9135553718076184,0.836144199307924,0.2739522915659131,0.9448853691954633,-0.3349555359423057,0.8470814221681637,0.8954985862528245,0.8628364664243439,0.9223811035128086,0.9073780175248007,0.9088370831287592,0.6637017962849883,0.9155989383062872,-0.2173775902628114,1.0
